osm_id,name,ref,type,oneway,bridge,maxspeed,WKT,x1,y1,x2,y2
38425101,Dover Yard,,service,0,0,,,528977.34,180423.12,528993.74,180423.12
38433218,Bourdon Place,,pedestrian,0,0,,,528755.86,180784.33,528806.82,180784.47
38433219,Bourdon Street,,unclassified,0,0,30,,528833.03,180814.08,528806.82,180784.47
38433758,,,tertiary,1,0,30,,528825.93,180509.68,528805.79,180496.24
38433759,,,unclassified,1,0,30,,528791.86,180499.32,528805.79,180496.24
38433760,,,unclassified,1,0,30,,528791.86,180501.52,528780.63,180530.10
38433761,Bruton Street,,tertiary,1,0,30,,528768.89,180659.09,528800.15,180664.12
38433762,Bruton Street,,tertiary,1,0,30,,528800.15,180656.15,528791.05,180639.41
38446257,,,steps,0,0,,,529616.97,180125.39,529624.88,180125.39
38446259,,,footway,0,0,,,529618.06,180124.19,529624.88,180125.39
38446263,,,footway,0,0,,,529621.44,180102.30,529645.25,180089.19
38446963,Waterloo Place,,unclassified,0,0,,,529742.31,180342.99,529692.94,180342.99
38446964,Waterloo Place,A4,primary,1,0,30,,529692.94,180349.58,529689.30,180349.58
38516122,,,footway,0,0,,,530723.33,180906.94,530723.71,180899.07
38550744,Parker Street,,unclassified,1,0,,,530560.78,181426.54,530551.85,181426.54
38550745,High Holborn,,unclassified,1,0,20,,530341.19,181490.18,530341.70,181472.33
38748214,Great Portland Street,B506,secondary,1,0,30,,528877.42,181978.36,528915.21,181903.28
38748215,Devonshire Street,,unclassified,0,0,,,528742.38,181987.03,528833.33,182011.37
38748216,Portland Place,A4201,primary,1,0,30,,528819.60,181717.36,528867.25,181577.15
38748498,Regent Street,A4201,primary,0,0,30,,529186.16,180877.66,529439.41,180645.87
38748499,Berkeley Street,,tertiary,1,0,30,,528768.89,180649.19,528791.05,180639.41
38748500,Berkeley Street,,tertiary,1,0,30,,528847.51,180552.44,528890.44,180526.21
38773051,High Holborn,A40,primary,1,0,20,,530516.41,181533.36,530508.14,181533.36
38895570,Binney Street,,unclassified,1,0,,,528425.78,181097.40,528421.20,181097.40
38895571,Oxford Street,A40,primary,0,0,30,,528680.73,181145.94,528527.43,181124.56
38895572,Oxford Street,A40,primary,0,0,30,,528418.25,181097.65,528374.02,181096.21
38895573,,,service,0,0,,,528433.41,180912.75,528412.42,180950.30
38895574,,,footway,0,0,,,528399.83,180756.21,528368.91,180831.25
38895575,,,footway,0,0,,,528306.60,180715.15,528487.69,180774.16
38895576,,,footway,0,0,,,528431.25,180874.11,528271.82,180826.57
38895577,,,footway,0,0,,,528331.40,180754.44,528425.91,180856.06
38895578,,,footway,0,0,,,528315.87,180799.18,528336.79,180755.88
38895579,,,footway,0,0,,,528431.78,180797.10,528423.94,180851.55
38895580,,,footway,0,0,,,528425.91,180851.73,528447.88,180783.17
38895581,,,footway,0,0,,,528450.96,180807.88,528436.62,180844.09
38895583,,,footway,0,0,,,528447.88,180776.34,528331.40,180749.07
38900540,High Holborn,A40,primary,1,0,20,,530647.88,181546.52,530586.98,181545.40
38901195,Aldwych,A4,primary,1,0,30,,530750.20,181058.12,530852.31,181054.83
38901197,Strand,A4,primary,1,0,30,,530897.66,180979.67,530872.30,180979.67
39081771,,,footway,0,0,,,529379.57,180828.86,529371.57,180828.86
39081772,,,footway,0,0,,,529337.62,180835.07,529353.35,180835.07
39081773,,,footway,0,0,,,529352.32,180861.51,529342.96,180861.51
39081774,,,footway,0,0,,,529350.45,180853.02,529359.15,180853.02
39081775,,,footway,0,0,,,529388.90,180846.68,529372.50,180846.68
39081776,,,pedestrian,0,0,,,529361.99,180835.07,529361.99,180823.05
39093506,Whitehall,A3212,primary,0,0,30,,530057.25,180302.41,530073.19,180272.59
39131084,,,footway,0,0,,,530385.47,182279.09,530385.47,182282.42
39890928,Park Crescent,A4201,primary,0,0,30,,528775.32,182201.23,528772.99,182201.23
40199930,,,footway,0,1,,,530686.96,180721.99,530717.85,180721.99
40199931,,,footway,0,0,,,530839.26,180785.13,530831.89,180796.14
40245621,,,footway,0,0,,,529933.43,182290.83,529931.99,182290.83
